============================================================
EXPERIMENT: k=3 Confirmation
============================================================

Config [FULL]: k=3, d=40, L=219, V=44, n=20000, layers=2, d_model=128, heads=4, dropout=0.2, epochs=50, patience=15

-- DENSE --
  graph ep4: train=0.053 | val=0.052 | best=0.052 | bad=0/15 | lr=0.00100 | 5.7s
  graph ep5: train=0.041 | val=0.045 | best=0.052 | bad=1/15 | lr=0.00100 | 5.7s
  graph ep6: train=0.058 | val=0.043 | best=0.052 | bad=2/15 | lr=0.00099 | 5.8s
  graph ep7: train=0.053 | val=0.045 | best=0.052 | bad=3/15 | lr=0.00098 | 5.6s
  graph ep8: train=0.045 | val=0.050 | best=0.052 | bad=4/15 | lr=0.00097 | 5.9s
  graph ep9: train=0.061 | val=0.043 | best=0.052 | bad=5/15 | lr=0.00096 | 5.6s
  graph ep10: train=0.075 | val=0.051 | best=0.052 | bad=6/15 | lr=0.00095 | 5.9s
  graph ep11: train=0.070 | val=0.049 | best=0.052 | bad=7/15 | lr=0.00093 | 5.6s
  graph ep12: train=0.064 | val=0.053 | best=0.053 | bad=0/15 | lr=0.00091 | 5.9s
  graph ep13: train=0.059 | val=0.051 | best=0.053 | bad=1/15 | lr=0.00089 | 5.6s
  graph ep14: train=0.061 | val=0.049 | best=0.053 | bad=2/15 | lr=0.00087 | 5.9s
  graph ep15: train=0.061 | val=0.051 | best=0.053 | bad=3/15 | lr=0.00085 | 5.6s
  graph ep16: train=0.050 | val=0.052 | best=0.053 | bad=4/15 | lr=0.00082 | 5.9s
  graph ep17: train=0.070 | val=0.051 | best=0.053 | bad=5/15 | lr=0.00080 | 5.6s
  graph ep18: train=0.058 | val=0.057 | best=0.057 | bad=0/15 | lr=0.00077 | 5.9s
  graph ep19: train=0.069 | val=0.064 | best=0.064 | bad=0/15 | lr=0.00074 | 5.6s
  graph ep20: train=0.056 | val=0.056 | best=0.064 | bad=1/15 | lr=0.00071 | 5.8s
  graph ep21: train=0.073 | val=0.057 | best=0.064 | bad=2/15 | lr=0.00068 | 5.7s
  graph ep22: train=0.055 | val=0.060 | best=0.064 | bad=3/15 | lr=0.00065 | 5.7s
  graph ep23: train=0.070 | val=0.066 | best=0.066 | bad=0/15 | lr=0.00062 | 5.8s
  graph ep24: train=0.077 | val=0.063 | best=0.066 | bad=1/15 | lr=0.00058 | 5.6s
  graph ep25: train=0.083 | val=0.061 | best=0.066 | bad=2/15 | lr=0.00055 | 5.9s
